Kategorie;KG;Zusatzinfo;Bauweise;Anmerkungen;verwendbar für frühe Planungsphasen
Mineralische Baustoffe / Steine und Elemente / Lehmsteine;;;;nähere Eingrenzung in den Datensätzen (Stein / Platte);x
Mineralische Baustoffe / Steine und Elemente / Leichtbeton;331A,331B,341,351,361;;;;x
Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;;;;;x
Mineralische Baustoffe / Steine und Elemente / Porenbeton;;;;;x
Mineralische Baustoffe / Steine und Elemente / Schiefer;324,335B,336,345,353,363;Verkleidung;;Boden oder  Steildach;x
Mineralische Baustoffe / Steine und Elemente / Steinzeug;;;;KG 400;
Mineralische Baustoffe / Steine und Elemente / Substrate;363;Substrat;;Gründach;x
Mineralische Baustoffe / Steine und Elemente / Trockenestrich;324,353;Estrich;;;x
Mineralische Baustoffe / Steine und Elemente / Ziegel;331B,332,341,342;Stein;;;x
Mineralische Baustoffe / Zuschläge / Bims;363;Substrat;;ggf. auch Schüttung (unklar);x
Mineralische Baustoffe / Zuschläge / Blähglas;324, 353, 363;Schüttung;;https://www.wecobis.de/bauproduktgruppen/grundstoffe-gs/gesteinskoernung-gs/industriell-hergestellte-gesteinskoernungen/blaehperlit-gs.html;
Mineralische Baustoffe / Zuschläge / Blähschiefer;363;Substrat;;;
Mineralische Baustoffe / Zuschläge / Blähton;363;Substrat;;"""Blähtonkörner und Sand werden für Ziegelsteine, Wandelemente, Leichtputze, Leichtbeton und als Schüttgut auf Baugeländen und in Grünanlagen verwendet."" (auch: Substrat)";x
Mineralische Baustoffe / Zuschläge / Kraftwerksnebenprodukte;;;;Betonzuschläge;o
Mineralische Baustoffe / Zuschläge / Naturstein;324, 353, 363;Schüttung;;;x
Mineralische Baustoffe / Zuschläge / Perlite;324, 353, 363;Schüttung;;;x
Mineralische Baustoffe / Zuschläge / Sand und Kies;324, 353, 363;Schüttung;;;x
Mineralische Baustoffe / Zuschläge / Trockenschüttung;324, 353, 363;Schüttung;;;x
Sonstige / Baustellenprozesse / Bagger/Aushub;;;;Phase A5;
Sonstige / Baustellenprozesse / Betonieren;;;;Phase A5;
Sonstige / Energieträger - Bereitstellung frei Verbraucher / Strom;;;;Phase B6;
Sonstige / Energieträger - Bereitstellung frei Verbraucher / Trinkwasser;;;;Phase B7;
Sonstige / Güter - Transporte[t km] / Bahn;;;;Phase A4;
Sonstige / Güter - Transporte[t km] / Binnenschiff;;;;Phase A4;
Sonstige / Güter - Transporte[t km] / LKW;;;;Phase A4;
Sonstige / Güter - Transporte[t km] / Seeschiff;;;;Phase A4;
Sonstige / Personen - Transporte[Personen km] / PKW;;;;Phase A4;
