Kategorie;KG;LayerType;Bauweise;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung
Mineralische Baustoffe / Steine und Elemente / Kunststein;324, 336, 345, 353;cladding, flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Steine und Elemente / Lehmsteine;;;Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen (Stein, Platte)
Mineralische Baustoffe / Steine und Elemente / Leichtbeton;331A, 331B, 341, 351, 361;(masonry unit, complete wall);Holz, Hybrid, MW, StB, Stahl;x;x;
Mineralische Baustoffe / Steine und Elemente / Naturwerkstein;;;Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen -> 324, 353, 335B
Mineralische Baustoffe / Steine und Elemente / Porenbeton;;;Holz, Hybrid, MW, StB, Stahl;x;x;bewehrt / unbewehrt / Granulat
Mineralische Baustoffe / Steine und Elemente / Schiefer;324, 335B, 336, 345, 353, 363;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;Boden oder  Steildach
Mineralische Baustoffe / Steine und Elemente / Substrate;363;growing medium;Holz, Hybrid, MW, StB, Stahl; ;x;Gründach
Mineralische Baustoffe / Steine und Elemente / Trockenestrich;324,353;screed;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Steine und Elemente / Ziegel;331B, 332, 341 ,342;masonry unit;MW; ;x;
Mineralische Baustoffe / Zuschläge / Bims;363;growing medium;Holz, Hybrid, MW, StB, Stahl; ;x;ggf. auch loose fill (unklar)
Mineralische Baustoffe / Zuschläge / Blähglas;324, 353, 363;loose fill;Holz, Hybrid, MW, StB, Stahl; ;x;https://www.wecobis.de/bauproduktgruppen/grundstoffe-gs/gesteinskoernung-gs/industriell-hergestellte-gesteinskoernungen/blaehperlit-gs.html
Mineralische Baustoffe / Zuschläge / Blähschiefer;363;growing medium;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Zuschläge / Blähton;363;growing medium;Holz, Hybrid, MW, StB, Stahl; ;x;"""Blähtonkörner und Sand werden für Ziegelsteine, Wandelemente, Leichtputze, Leichtbeton und als Schüttgut auf Baugeländen und in Grünanlagen verwendet."" (auch: Substrat)"
Mineralische Baustoffe / Zuschläge / Kraftwerksnebenprodukte;;;;;o;Betonzuschläge
Mineralische Baustoffe / Zuschläge / Naturstein;324, 353, 363;loose fill;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Zuschläge / Perlite;324, 353, 363;loose fill;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Zuschläge / Sand und Kies;324, 353, 363;loose fill;Holz, Hybrid, MW, StB, Stahl; ;x;
Mineralische Baustoffe / Zuschläge / Trockenschüttung;324, 353, 363;loose fill;Holz, Hybrid, MW, StB, Stahl; ;x;
Sonstige / Energieträger - Bereitstellung frei Verbraucher / Trinkwasser;;;;;o;
Dämmstoffe / Melaminharz / Schaum;336, 345, 354, 364;insulation sound;;;o;Schalldämmung an Innenoberflächen
