UUID;Name;Kategorie;Bezugsgroesse;Bezugseinheit;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Ergänzt;Quelle
973a5aa1-fc59-4048-98ca-a9d57290bf58;Tor - Teckentrup GmbH & Co. KG - Falttor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Falttor;;89;;;;;;;
d7b3f8d3-5f65-48c5-b2dd-9c7258546ee3;Tor - Teckentrup GmbH & Co. KG - Schiebetor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Schiebetor;;125;;;;;;;
6e73328a-962a-43dc-9bbf-91cf6a315b42;Tor - Teckentrup GmbH & Co. KG - Garagensektionaltor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Garagensektionaltor;;10,9;;;;;;;
4f73e527-0ca3-4d43-8686-1f18d3c6b426;Tor - Teckentrup GmbH & Co. KG - Industriesektionaltor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Industriesektionaltor;;30,4;;;;;;;
083d5e15-abcd-45d6-91de-726a16b204f1;Tor - Teckentrup GmbH & Co. KG - Rolltor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Rolltor;;36,3;;;;;;;
2d10d549-e9de-4dbe-a732-4331fa2c5aaa;Tor - Lindab A/S - Sektionaltor LDP;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;1;qm;Tor - Lindab A/S - Sektionaltor LDP;;19,7;;;;;;;
d8d9558c-e683-456f-8167-df390df76389;Tor - Lindab A/S - Sektionaltor LDC;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Lindab A/S - Sektionaltor LDC;;21,1;;;;;;;
039317ac-7393-41b2-b91f-7816db173d24;Tor - Lindab A/S - Sektionaltor LDI;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Lindab A/S - Sektionaltor LDI;;20,3;;;;;;;
24f9f8e0-423c-4fe3-a16a-7b93efae9421;Tür - Teckentrup GmbH & Co. KG - Multifunktionstür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tür - Teckentrup GmbH & Co. KG - Multifunktionstür;;44,1;;;;;;;
f70e7397-ab7b-47c8-a172-6992a615ee2e;Blähton Körnung;Mineralische Baustoffe / Zuschläge / Blähton;1;kg;Blähton Korn;;;;;;;;;
e5cd5727-a516-4081-8fdf-4fc0ce142d90;WDVS Verklebung und Beschichtung Kratzputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kratzputz mineralisch;;35,18;;;;;;;
94ef6ac0-956a-4d60-9062-990df91e7917;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikat-Dispersionsputz;;12,48;;;;;;;
88cc57f7-384d-47a3-826a-e4fce57a32bd;WDVS Verklebung und Beschichtung Kunstharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Kunstharzputz;;12,48;;;;;;;
6108c144-5112-4f18-bcb1-d1ff8eb831a6;WDVS Verklebung und Beschichtung Leichtputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Leichtputz mineralisch;;11,4;;;;;;;
49fe2b06-ea9c-4cef-b0a1-a75fd1ed6bf8;WDVS Verklebung und Beschichtung Dekorputz mineralisch;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Dekorputz mineralisch;;17,4;;;;;;;
1b84e630-6489-493e-a066-1b976684dd03;WDVS Verklebung und Beschichtung Silikonharzputz;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;1;qm;WDVS Verklebung und Beschichtung Silikonharzputz;;12,3;;;;;;;
85c97417-a0fa-478e-b6e1-e26b097f78a3;Garagensectionaltor-Teckentrup-Stahl;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - Teckentrup GmbH & Co. KG - Garagensektionaltor;;10,9;;;;;;;
2708d43f-7df7-4474-afae-cc86af429b4f;Decke - HT Labor+Hospitaltechnik GmbH - Decke für Hygienebereiche;Komposite / Systembauteile / Decken;1;qm;Decke - HT Labor+Hospitaltechnik GmbH - Decke für Hygienebereiche;;8;;;;;;;
f92dc986-1f9a-42e2-9dbb-3abc2499a1d1;Bodensystem - HT Labor+Hospitaltechnik GmbH - Nasszellen-Boden;Komposite / Systembauteile / Decken;1;qm;Bodensystem - HT Labor+Hospitaltechnik GmbH - Nasszellen-Boden;;45;;;;;;;
d44f6388-8e62-4969-8e54-49a3a173f395;Wandsystem - HT Labor+Hospitaltechnik GmbH - Stahlblech-Paneelwand;Komposite / Systembauteile / Innenwände;1;qm;Wandsystem - HT Labor+Hospitaltechnik GmbH - Stahlblech-Paneelwand;;23;;;;;;;
f696ab8a-9222-42d3-96c9-02da1c8694bc;Wandsystem - HT Labor+Hospitaltechnik GmbH - Glas-Paneelwand;Komposite / Systembauteile / Innenwände;1;qm;Wandsystem - HT Labor+Hospitaltechnik GmbH - Glas-Paneelwand;;38;;;;;;;
f5cc97d5-95a4-4649-954f-6345b53f454a;Wandsystem - HT Labor+Hospitaltechnik GmbH - Fliesen-Paneelwand;Komposite / Systembauteile / Innenwände;1;qm;Wandsystem - HT Labor+Hospitaltechnik GmbH - Fliesen-Paneelwand;;31;;;;;;;
0836552d-9796-47b6-b33b-12ec55050926;Rahmenprofile für Türen - HUECK System GmbH & Co. KG - Lava;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Türen - HUECK System GmbH & Co. KG - Lava;;;;;;4,63;;;
c2f10adc-56b3-4fff-9a33-6134e7646740;Rahmenprofile für Fenster und Türen - HUECK System GmbH & Co. KG - WS/DS 090;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Fenster und Türen - HUECK System GmbH & Co. KG - WS/DS 090;;;;;;3,15;;;
b5db085c-fb09-4571-ae2b-594e2fc22baa;Rahmenprofile für Fenster und Türen - HUECK System GmbH & Co. KG - WS/DS 075;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Fenster und Türen - HUECK System GmbH & Co. KG - WS/DS 075;;;;;;3,13;;;
9ae099db-6bd6-42ba-892f-f1e8cfb507ed;Rahmenprofile für Fenster - HUECK System GmbH & Co. KG - Volato;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium thermisch getrennt;1;m;Rahmenprofile für Fenster - HUECK System GmbH & Co. KG - Volato;;;;;;3,25;;;
90e05b8a-e04e-4f8c-bce6-48f55b52bae4;Tor - BVT - Verband Tore - Sektionaltor;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - BVT - Verband Tore - Sektionaltor;;24,7;;;;;;;
2a2237f9-5911-4218-864b-14ef8759dd86;Tor - BVT - Verband Tore - Rolltor und Rollgitter;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tor - BVT - Verband Tore - Rolltor und Rollgitter;;19,9;;;;;;;
74ea2b8e-7fc1-4bc2-8f73-8a7fc8f242fb;Tür - BVT - Verband Tore - Nebentür;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;1;qm;Tür - BVT - Verband Tore - Nebentür;;16,6;;;;;;;
